origin,destination,ridership
KG12: Phileo Damansara,SP19: Awan Besar,545
KG12: Phileo Damansara,SP20: Muhibbah,500
KG12: Phileo Damansara,SP21: Alam Sutera,679
KG12: Phileo Damansara,SP22: Kinrara,884
KG12: Phileo Damansara,SP24: IOI Puchong Jaya,720
KG12: Phileo Damansara,SP25: Pusat Bandar Puchong,414
KG12: Phileo Damansara,SP26: Taman Perindustrian Puchong,356
KG12: Phileo Damansara,SP27: Bandar Puteri,232
KG12: Phileo Damansara,SP28: Puchong Perdana,547
KG12: Phileo Damansara,SP29: Puchong Prima,962
KG12: Phileo Damansara,SP31: Putra Heights,439
KG13: Pusat Bandar Damansara,A0: All Stations,580080
KG13: Pusat Bandar Damansara,AG01: Sentul Timur,2406
KG13: Pusat Bandar Damansara,AG02: Sentul,2084
KG13: Pusat Bandar Damansara,AG03: Titiwangsa,2978
KG13: Pusat Bandar Damansara,AG04: PWTC,2887
KG13: Pusat Bandar Damansara,AG05: Sultan Ismail,614
KG13: Pusat Bandar Damansara,AG06: Bandaraya,836
KG13: Pusat Bandar Damansara,AG07: Masjid Jamek,1586
KG13: Pusat Bandar Damansara,AG08: Plaza Rakyat,1910
KG13: Pusat Bandar Damansara,AG09: Hang Tuah,534
KG13: Pusat Bandar Damansara,AG10: Pudu,3187
KG13: Pusat Bandar Damansara,AG11: Chan Sow Lin,157
KG13: Pusat Bandar Damansara,AG12: Miharja,745
KG13: Pusat Bandar Damansara,AG13: Maluri,1730
KG13: Pusat Bandar Damansara,AG14: Pandan Jaya,3410
KG13: Pusat Bandar Damansara,AG15: Pandan Indah,2046
KG13: Pusat Bandar Damansara,AG16: Cempaka,3086
KG13: Pusat Bandar Damansara,AG17: Cahaya,2193
KG13: Pusat Bandar Damansara,AG18: Ampang,5307
KG13: Pusat Bandar Damansara,KG04: Kwasa Damansara,5464
KG13: Pusat Bandar Damansara,KG05: Kwasa Sentral,11096
KG13: Pusat Bandar Damansara,KG06: Kota Damansara,16617
KG13: Pusat Bandar Damansara,KG07: Surian,21170
KG13: Pusat Bandar Damansara,KG08: Mutiara Damansara,42518
KG13: Pusat Bandar Damansara,KG09: Bandar Utama,28917
KG13: Pusat Bandar Damansara,KG10: TTDI,18929
KG13: Pusat Bandar Damansara,KG12: Phileo Damansara,23614
KG13: Pusat Bandar Damansara,KG13: Pusat Bandar Damansara,9541
KG13: Pusat Bandar Damansara,KG14: Semantan,22271
KG13: Pusat Bandar Damansara,KG15: Muzium Negara,38713
KG13: Pusat Bandar Damansara,KG16: Pasar Seni,13559
KG13: Pusat Bandar Damansara,KG17: Merdeka,2439
KG13: Pusat Bandar Damansara,KG18: Bukit Bintang,48441
KG13: Pusat Bandar Damansara,KG20: Tun Razak Exchange,17971
KG13: Pusat Bandar Damansara,KG21: Cochrane,12366
KG13: Pusat Bandar Damansara,KG22: Maluri,22699
KG13: Pusat Bandar Damansara,KG23: Taman Pertama,4526
KG13: Pusat Bandar Damansara,KG24: Taman Midah,5566
KG13: Pusat Bandar Damansara,KG25: Taman Mutiara,8288
KG13: Pusat Bandar Damansara,KG26: Taman Connaught,7979
KG13: Pusat Bandar Damansara,KG27: Taman Suntex,7377
KG13: Pusat Bandar Damansara,KG28: Sri Raya,3495
KG13: Pusat Bandar Damansara,KG29: Bandar Tun Hussien Onn,5525
KG13: Pusat Bandar Damansara,KG30: Batu 11 Cheras,3755
KG13: Pusat Bandar Damansara,KG31: Bukit Dukung,4468
KG13: Pusat Bandar Damansara,KG33: Sungai Jernih,6205
KG13: Pusat Bandar Damansara,KG34: Stadium Kajang,3215
KG13: Pusat Bandar Damansara,KG35: Kajang,12674
KG13: Pusat Bandar Damansara,KJ01: Gombak,2193
KG13: Pusat Bandar Damansara,KJ02: Taman Melati,4099
KG13: Pusat Bandar Damansara,KJ03: Wangsa Maju,5756
KG13: Pusat Bandar Damansara,KJ04: Sri Rampai,3471
KG13: Pusat Bandar Damansara,KJ05: Setiawangsa,2042
KG13: Pusat Bandar Damansara,KJ06: Jelatek,1696
KG13: Pusat Bandar Damansara,KJ07: Dato' Keramat,639
KG13: Pusat Bandar Damansara,KJ08: Damai,783
KG13: Pusat Bandar Damansara,KJ09: Ampang Park,1096
KG13: Pusat Bandar Damansara,KJ10: KLCC,5023
KG13: Pusat Bandar Damansara,KJ11: Kampung Baru,2287
KG13: Pusat Bandar Damansara,KJ12: Dang Wangi,999
KG13: Pusat Bandar Damansara,KJ13: Masjid Jamek,1375
KG13: Pusat Bandar Damansara,KJ14: Pasar Seni,17170
KG13: Pusat Bandar Damansara,KJ15: KL Sentral,985
KG13: Pusat Bandar Damansara,KJ16: Bank Rakyat Bangsar,1964
KG13: Pusat Bandar Damansara,KJ17: Abdullah Hukum,2752
KG13: Pusat Bandar Damansara,KJ18: Kerinchi,1506
KG13: Pusat Bandar Damansara,KJ19: Universiti,2102
KG13: Pusat Bandar Damansara,KJ20: Taman Jaya,596
KG13: Pusat Bandar Damansara,KJ21: Asia Jaya,866
KG13: Pusat Bandar Damansara,KJ22: Taman Paramount,942
KG13: Pusat Bandar Damansara,KJ23: Taman Bahagia,711
KG13: Pusat Bandar Damansara,KJ24: Kelana Jaya,545
KG13: Pusat Bandar Damansara,KJ25: Lembah Subang,905
KG13: Pusat Bandar Damansara,KJ26: Ara Damansara,1021
KG13: Pusat Bandar Damansara,KJ27: Cgc Glenmarie,1547
KG13: Pusat Bandar Damansara,KJ28: Subang Jaya,1763
KG13: Pusat Bandar Damansara,KJ29: SS 15,1630
KG13: Pusat Bandar Damansara,KJ30: SS 18,693
KG13: Pusat Bandar Damansara,KJ31: USJ 7,1269
KG13: Pusat Bandar Damansara,KJ32: Taipan,686
KG13: Pusat Bandar Damansara,KJ33: Wawasan,746
KG13: Pusat Bandar Damansara,KJ34: USJ 21,467
KG13: Pusat Bandar Damansara,KJ35: Alam Megah,1224
KG13: Pusat Bandar Damansara,KJ36: Subang Alam,259
KG13: Pusat Bandar Damansara,MR01: KL Sentral,11
KG13: Pusat Bandar Damansara,MR02: Tun Sambanthan,2
KG13: Pusat Bandar Damansara,MR03: Maharajalela,5
KG13: Pusat Bandar Damansara,MR04: Hang Tuah,2202
KG13: Pusat Bandar Damansara,MR05: Imbi,50
KG13: Pusat Bandar Damansara,MR06: Bukit Bintang,14
KG13: Pusat Bandar Damansara,MR07: Raja Chulan,2
KG13: Pusat Bandar Damansara,MR08: Bukit Nanas,5
KG13: Pusat Bandar Damansara,MR09: Medan Tuanku,21
KG13: Pusat Bandar Damansara,MR10: Chow Kit,64
KG13: Pusat Bandar Damansara,MR11: Titiwangsa,110
KG13: Pusat Bandar Damansara,PYL03: Kampung Selamat,3819
KG13: Pusat Bandar Damansara,PYL04: Sungai Buloh,8171
KG13: Pusat Bandar Damansara,SP12: Cheras,1663
KG13: Pusat Bandar Damansara,SP13: Salak Selatan,3804
KG13: Pusat Bandar Damansara,SP14: Bandar Tun Razak,433
KG13: Pusat Bandar Damansara,SP15: Bandar Tasik Selatan,1024
KG13: Pusat Bandar Damansara,SP16: Sungai Besi,10
KG13: Pusat Bandar Damansara,SP17: Bukit Jalil,1589
KG13: Pusat Bandar Damansara,SP18: Sri Petaling,691
KG13: Pusat Bandar Damansara,SP19: Awan Besar,2347
KG13: Pusat Bandar Damansara,SP20: Muhibbah,943
KG13: Pusat Bandar Damansara,SP21: Alam Sutera,1341
KG13: Pusat Bandar Damansara,SP22: Kinrara,2619
KG13: Pusat Bandar Damansara,SP24: IOI Puchong Jaya,1210
KG13: Pusat Bandar Damansara,SP25: Pusat Bandar Puchong,1632
KG13: Pusat Bandar Damansara,SP26: Taman Perindustrian Puchong,581
KG13: Pusat Bandar Damansara,SP27: Bandar Puteri,838
KG13: Pusat Bandar Damansara,SP28: Puchong Perdana,819
KG13: Pusat Bandar Damansara,SP29: Puchong Prima,1737
KG13: Pusat Bandar Damansara,SP31: Putra Heights,1421
KG14: Semantan,A0: All Stations,650617
KG14: Semantan,AG01: Sentul Timur,4024
KG14: Semantan,AG02: Sentul,1837
KG14: Semantan,AG03: Titiwangsa,2531
KG14: Semantan,AG04: PWTC,2697
KG14: Semantan,AG05: Sultan Ismail,714
KG14: Semantan,AG06: Bandaraya,1437
KG14: Semantan,AG07: Masjid Jamek,2286
KG14: Semantan,AG08: Plaza Rakyat,3008
KG14: Semantan,AG09: Hang Tuah,951
KG14: Semantan,AG10: Pudu,4118
KG14: Semantan,AG11: Chan Sow Lin,406
KG14: Semantan,AG12: Miharja,1069
KG14: Semantan,AG13: Maluri,1924
KG14: Semantan,AG14: Pandan Jaya,3722
KG14: Semantan,AG15: Pandan Indah,3054
KG14: Semantan,AG16: Cempaka,4687
KG14: Semantan,AG17: Cahaya,3200
KG14: Semantan,AG18: Ampang,7474
KG14: Semantan,KG04: Kwasa Damansara,6511
KG14: Semantan,KG05: Kwasa Sentral,12105
KG14: Semantan,KG06: Kota Damansara,14130
KG14: Semantan,KG07: Surian,15880
KG14: Semantan,KG08: Mutiara Damansara,19139
KG14: Semantan,KG09: Bandar Utama,30005
KG14: Semantan,KG10: TTDI,17655
KG14: Semantan,KG12: Phileo Damansara,11532
KG14: Semantan,KG13: Pusat Bandar Damansara,24888
KG14: Semantan,KG14: Semantan,10676
KG14: Semantan,KG15: Muzium Negara,61943
KG14: Semantan,KG16: Pasar Seni,22027
KG14: Semantan,KG17: Merdeka,3833
KG14: Semantan,KG18: Bukit Bintang,50498
KG14: Semantan,KG20: Tun Razak Exchange,20990
KG14: Semantan,KG21: Cochrane,12675
KG14: Semantan,KG22: Maluri,24075
KG14: Semantan,KG23: Taman Pertama,4284
KG14: Semantan,KG24: Taman Midah,7612
KG14: Semantan,KG25: Taman Mutiara,8169
KG14: Semantan,KG26: Taman Connaught,9321
KG14: Semantan,KG27: Taman Suntex,8246
KG14: Semantan,KG28: Sri Raya,4702
KG14: Semantan,KG29: Bandar Tun Hussien Onn,7744
KG14: Semantan,KG30: Batu 11 Cheras,4935
KG14: Semantan,KG31: Bukit Dukung,5799
KG14: Semantan,KG33: Sungai Jernih,8834
KG14: Semantan,KG34: Stadium Kajang,5101
KG14: Semantan,KG35: Kajang,20877
KG14: Semantan,KJ01: Gombak,4025
KG14: Semantan,KJ02: Taman Melati,6084
KG14: Semantan,KJ03: Wangsa Maju,7766
KG14: Semantan,KJ04: Sri Rampai,5271
KG14: Semantan,KJ05: Setiawangsa,3212
KG14: Semantan,KJ06: Jelatek,2532
KG14: Semantan,KJ07: Dato' Keramat,745
KG14: Semantan,KJ08: Damai,1293
KG14: Semantan,KJ09: Ampang Park,1668
KG14: Semantan,KJ10: KLCC,8397
KG14: Semantan,KJ11: Kampung Baru,2538
KG14: Semantan,KJ12: Dang Wangi,1255
KG14: Semantan,KJ13: Masjid Jamek,2818
KG14: Semantan,KJ14: Pasar Seni,19659
KG14: Semantan,KJ15: KL Sentral,1781
KG14: Semantan,KJ16: Bank Rakyat Bangsar,4153
KG14: Semantan,KJ17: Abdullah Hukum,3990
KG14: Semantan,KJ18: Kerinchi,1857
KG14: Semantan,KJ19: Universiti,4013
KG14: Semantan,KJ20: Taman Jaya,1235
KG14: Semantan,KJ21: Asia Jaya,1223
KG14: Semantan,KJ22: Taman Paramount,1176
KG14: Semantan,KJ23: Taman Bahagia,1309
KG14: Semantan,KJ24: Kelana Jaya,1120
KG14: Semantan,KJ25: Lembah Subang,1461
KG14: Semantan,KJ26: Ara Damansara,1910
KG14: Semantan,KJ27: Cgc Glenmarie,2073
KG14: Semantan,KJ28: Subang Jaya,2509
KG14: Semantan,KJ29: SS 15,2041
KG14: Semantan,KJ30: SS 18,692
KG14: Semantan,KJ31: USJ 7,826
KG14: Semantan,KJ32: Taipan,1072
KG14: Semantan,KJ33: Wawasan,1078
KG14: Semantan,KJ34: USJ 21,1058
KG14: Semantan,KJ35: Alam Megah,1199
KG14: Semantan,KJ36: Subang Alam,381
KG14: Semantan,MR01: KL Sentral,7
KG14: Semantan,MR02: Tun Sambanthan,1
KG14: Semantan,MR03: Maharajalela,21
KG14: Semantan,MR04: Hang Tuah,2226
KG14: Semantan,MR05: Imbi,50
KG14: Semantan,MR06: Bukit Bintang,4
KG14: Semantan,MR07: Raja Chulan,3
KG14: Semantan,MR08: Bukit Nanas,3
KG14: Semantan,MR09: Medan Tuanku,48
KG14: Semantan,MR10: Chow Kit,268
KG14: Semantan,MR11: Titiwangsa,200
KG14: Semantan,PYL03: Kampung Selamat,2590
KG14: Semantan,PYL04: Sungai Buloh,9855
KG14: Semantan,SP12: Cheras,1523
KG14: Semantan,SP13: Salak Selatan,4274
KG14: Semantan,SP14: Bandar Tun Razak,776
KG14: Semantan,SP15: Bandar Tasik Selatan,2032
KG14: Semantan,SP16: Sungai Besi,44
KG14: Semantan,SP17: Bukit Jalil,1705
KG14: Semantan,SP18: Sri Petaling,662
KG14: Semantan,SP19: Awan Besar,2062
KG14: Semantan,SP20: Muhibbah,918
KG14: Semantan,SP21: Alam Sutera,1248
KG14: Semantan,SP22: Kinrara,2659
KG14: Semantan,SP24: IOI Puchong Jaya,1231
KG14: Semantan,SP25: Pusat Bandar Puchong,1486
KG14: Semantan,SP26: Taman Perindustrian Puchong,280
KG14: Semantan,SP27: Bandar Puteri,802
KG14: Semantan,SP28: Puchong Perdana,749
KG14: Semantan,SP29: Puchong Prima,2076
KG14: Semantan,SP31: Putra Heights,2069
KG15: Muzium Negara,A0: All Stations,1349999
KG15: Muzium Negara,AG01: Sentul Timur,2167
KG15: Muzium Negara,AG02: Sentul,1140
KG15: Muzium Negara,AG03: Titiwangsa,932
KG15: Muzium Negara,AG04: PWTC,1477
KG15: Muzium Negara,AG05: Sultan Ismail,127
KG15: Muzium Negara,AG06: Bandaraya,829
KG15: Muzium Negara,AG07: Masjid Jamek,1326
KG15: Muzium Negara,AG08: Plaza Rakyat,3464
KG15: Muzium Negara,AG09: Hang Tuah,328
KG15: Muzium Negara,AG10: Pudu,1149
KG15: Muzium Negara,AG11: Chan Sow Lin,390
KG15: Muzium Negara,AG12: Miharja,482
KG15: Muzium Negara,AG13: Maluri,3920
KG15: Muzium Negara,AG14: Pandan Jaya,2717
KG15: Muzium Negara,AG15: Pandan Indah,2829
KG15: Muzium Negara,AG16: Cempaka,4021
KG15: Muzium Negara,AG17: Cahaya,2046
KG15: Muzium Negara,AG18: Ampang,5058
KG15: Muzium Negara,KG04: Kwasa Damansara,17989
KG15: Muzium Negara,KG05: Kwasa Sentral,35518
KG15: Muzium Negara,KG06: Kota Damansara,29138
KG15: Muzium Negara,KG07: Surian,43237
KG15: Muzium Negara,KG08: Mutiara Damansara,49444
KG15: Muzium Negara,KG09: Bandar Utama,72585
KG15: Muzium Negara,KG10: TTDI,44921
KG15: Muzium Negara,KG12: Phileo Damansara,30151
KG15: Muzium Negara,KG13: Pusat Bandar Damansara,38674
KG15: Muzium Negara,KG14: Semantan,58736
KG15: Muzium Negara,KG15: Muzium Negara,97570
KG15: Muzium Negara,KG16: Pasar Seni,31072
KG15: Muzium Negara,KG17: Merdeka,7629
KG15: Muzium Negara,KG18: Bukit Bintang,107932
KG15: Muzium Negara,KG20: Tun Razak Exchange,77377
KG15: Muzium Negara,KG21: Cochrane,47705
KG15: Muzium Negara,KG22: Maluri,91974
KG15: Muzium Negara,KG23: Taman Pertama,17654
KG15: Muzium Negara,KG24: Taman Midah,22301
KG15: Muzium Negara,KG25: Taman Mutiara,30780
KG15: Muzium Negara,KG26: Taman Connaught,36932
KG15: Muzium Negara,KG27: Taman Suntex,35963
KG15: Muzium Negara,KG28: Sri Raya,18161
KG15: Muzium Negara,KG29: Bandar Tun Hussien Onn,27669
KG15: Muzium Negara,KG30: Batu 11 Cheras,17521
KG15: Muzium Negara,KG31: Bukit Dukung,19322
KG15: Muzium Negara,KG33: Sungai Jernih,28709
KG15: Muzium Negara,KG34: Stadium Kajang,18266
KG15: Muzium Negara,KG35: Kajang,65359
KG15: Muzium Negara,KJ01: Gombak,230
KG15: Muzium Negara,KJ02: Taman Melati,632
KG15: Muzium Negara,KJ03: Wangsa Maju,788
KG15: Muzium Negara,KJ04: Sri Rampai,313
KG15: Muzium Negara,KJ05: Setiawangsa,245
KG15: Muzium Negara,KJ06: Jelatek,300
KG15: Muzium Negara,KJ07: Dato' Keramat,125
KG15: Muzium Negara,KJ08: Damai,296
KG15: Muzium Negara,KJ09: Ampang Park,663
KG15: Muzium Negara,KJ10: KLCC,4285
KG15: Muzium Negara,KJ11: Kampung Baru,532
KG15: Muzium Negara,KJ12: Dang Wangi,902
KG15: Muzium Negara,KJ13: Masjid Jamek,531
KG15: Muzium Negara,KJ14: Pasar Seni,21265
KG15: Muzium Negara,KJ15: KL Sentral,562
KG15: Muzium Negara,KJ16: Bank Rakyat Bangsar,341
KG15: Muzium Negara,KJ17: Abdullah Hukum,571
KG15: Muzium Negara,KJ18: Kerinchi,154
KG15: Muzium Negara,KJ19: Universiti,340
KG15: Muzium Negara,KJ20: Taman Jaya,119
KG15: Muzium Negara,KJ21: Asia Jaya,97
KG15: Muzium Negara,KJ22: Taman Paramount,93
KG15: Muzium Negara,KJ23: Taman Bahagia,103
KG15: Muzium Negara,KJ24: Kelana Jaya,72
KG15: Muzium Negara,KJ25: Lembah Subang,57
KG15: Muzium Negara,KJ26: Ara Damansara,104
KG15: Muzium Negara,KJ27: Cgc Glenmarie,129
KG15: Muzium Negara,KJ28: Subang Jaya,95
KG15: Muzium Negara,KJ29: SS 15,168
KG15: Muzium Negara,KJ30: SS 18,23
KG15: Muzium Negara,KJ31: USJ 7,67
KG15: Muzium Negara,KJ32: Taipan,48
KG15: Muzium Negara,KJ33: Wawasan,42
KG15: Muzium Negara,KJ34: USJ 21,37
KG15: Muzium Negara,KJ35: Alam Megah,87
KG15: Muzium Negara,KJ36: Subang Alam,12
KG15: Muzium Negara,MR01: KL Sentral,31
KG15: Muzium Negara,MR02: Tun Sambanthan,12
KG15: Muzium Negara,MR03: Maharajalela,23
KG15: Muzium Negara,MR04: Hang Tuah,878
KG15: Muzium Negara,MR05: Imbi,105
KG15: Muzium Negara,MR06: Bukit Bintang,28
KG15: Muzium Negara,MR07: Raja Chulan,18
KG15: Muzium Negara,MR08: Bukit Nanas,67
KG15: Muzium Negara,MR09: Medan Tuanku,72
KG15: Muzium Negara,MR10: Chow Kit,84
KG15: Muzium Negara,MR11: Titiwangsa,413
KG15: Muzium Negara,PYL03: Kampung Selamat,8124
KG15: Muzium Negara,PYL04: Sungai Buloh,28279
KG15: Muzium Negara,SP12: Cheras,1679
KG15: Muzium Negara,SP13: Salak Selatan,3034
KG15: Muzium Negara,SP14: Bandar Tun Razak,740
KG15: Muzium Negara,SP15: Bandar Tasik Selatan,1536
KG15: Muzium Negara,SP16: Sungai Besi,23
KG15: Muzium Negara,SP17: Bukit Jalil,1695
KG15: Muzium Negara,SP18: Sri Petaling,705
KG15: Muzium Negara,SP19: Awan Besar,2373
KG15: Muzium Negara,SP20: Muhibbah,1084
KG15: Muzium Negara,SP21: Alam Sutera,1633
KG15: Muzium Negara,SP22: Kinrara,2849
KG15: Muzium Negara,SP24: IOI Puchong Jaya,1435
KG15: Muzium Negara,SP25: Pusat Bandar Puchong,918
KG15: Muzium Negara,SP26: Taman Perindustrian Puchong,616
KG15: Muzium Negara,SP27: Bandar Puteri,701
KG15: Muzium Negara,SP28: Puchong Perdana,528
KG15: Muzium Negara,SP29: Puchong Prima,1071
KG15: Muzium Negara,SP31: Putra Heights,126
KG16: Pasar Seni,A0: All Stations,948593
KG16: Pasar Seni,AG01: Sentul Timur,2009
KG16: Pasar Seni,AG02: Sentul,1067
KG16: Pasar Seni,AG03: Titiwangsa,2063
KG16: Pasar Seni,AG04: PWTC,2593
KG16: Pasar Seni,AG05: Sultan Ismail,409
KG16: Pasar Seni,AG06: Bandaraya,2390
KG16: Pasar Seni,AG07: Masjid Jamek,11413
KG16: Pasar Seni,AG08: Plaza Rakyat,1602
KG16: Pasar Seni,AG09: Hang Tuah,1005
KG16: Pasar Seni,AG10: Pudu,2118
KG16: Pasar Seni,AG11: Chan Sow Lin,496
KG16: Pasar Seni,AG12: Miharja,884
KG16: Pasar Seni,AG13: Maluri,3604
KG16: Pasar Seni,AG14: Pandan Jaya,2474
KG16: Pasar Seni,AG15: Pandan Indah,2253
KG16: Pasar Seni,AG16: Cempaka,3158
KG16: Pasar Seni,AG17: Cahaya,1615
KG16: Pasar Seni,AG18: Ampang,3584
KG16: Pasar Seni,KG04: Kwasa Damansara,3411
KG16: Pasar Seni,KG05: Kwasa Sentral,10043
KG16: Pasar Seni,KG06: Kota Damansara,8656
KG16: Pasar Seni,KG07: Surian,13471
KG16: Pasar Seni,KG08: Mutiara Damansara,14258
KG16: Pasar Seni,KG09: Bandar Utama,23579
KG16: Pasar Seni,KG10: TTDI,13421
KG16: Pasar Seni,KG12: Phileo Damansara,9365
KG16: Pasar Seni,KG13: Pusat Bandar Damansara,13317
KG16: Pasar Seni,KG14: Semantan,20915
KG16: Pasar Seni,KG15: Muzium Negara,32453
KG16: Pasar Seni,KG16: Pasar Seni,52302
KG16: Pasar Seni,KG17: Merdeka,4939
KG16: Pasar Seni,KG18: Bukit Bintang,163811
KG16: Pasar Seni,KG20: Tun Razak Exchange,61861
KG16: Pasar Seni,KG21: Cochrane,30138
KG16: Pasar Seni,KG22: Maluri,37399
KG16: Pasar Seni,KG23: Taman Pertama,9429
KG16: Pasar Seni,KG24: Taman Midah,10836
KG16: Pasar Seni,KG25: Taman Mutiara,18861
KG16: Pasar Seni,KG26: Taman Connaught,12535
KG16: Pasar Seni,KG27: Taman Suntex,11951
KG16: Pasar Seni,KG28: Sri Raya,5604
KG16: Pasar Seni,KG29: Bandar Tun Hussien Onn,10414
KG16: Pasar Seni,KG30: Batu 11 Cheras,9097
KG16: Pasar Seni,KG31: Bukit Dukung,6764
KG16: Pasar Seni,KG33: Sungai Jernih,5641
KG16: Pasar Seni,KG34: Stadium Kajang,10344
KG16: Pasar Seni,KG35: Kajang,18215
KG16: Pasar Seni,KJ01: Gombak,4495
KG16: Pasar Seni,KJ02: Taman Melati,5994
KG16: Pasar Seni,KJ03: Wangsa Maju,12541
KG16: Pasar Seni,KJ04: Sri Rampai,4532
KG16: Pasar Seni,KJ05: Setiawangsa,3641
KG16: Pasar Seni,KJ06: Jelatek,3674
KG16: Pasar Seni,KJ07: Dato' Keramat,1091
KG16: Pasar Seni,KJ08: Damai,1525
KG16: Pasar Seni,KJ09: Ampang Park,6660
KG16: Pasar Seni,KJ10: KLCC,34415
KG16: Pasar Seni,KJ11: Kampung Baru,5488
KG16: Pasar Seni,KJ12: Dang Wangi,8279
KG16: Pasar Seni,KJ13: Masjid Jamek,7499
KG16: Pasar Seni,KJ14: Pasar Seni,16784
KG16: Pasar Seni,KJ15: KL Sentral,36536
KG16: Pasar Seni,KJ16: Bank Rakyat Bangsar,11042
KG16: Pasar Seni,KJ17: Abdullah Hukum,13919
KG16: Pasar Seni,KJ18: Kerinchi,4536
KG16: Pasar Seni,KJ19: Universiti,8366
KG16: Pasar Seni,KJ20: Taman Jaya,3133
KG16: Pasar Seni,KJ21: Asia Jaya,3061
KG16: Pasar Seni,KJ22: Taman Paramount,3046
KG16: Pasar Seni,KJ23: Taman Bahagia,2249
KG16: Pasar Seni,KJ24: Kelana Jaya,2695
KG16: Pasar Seni,KJ25: Lembah Subang,3112
KG16: Pasar Seni,KJ26: Ara Damansara,3262
KG16: Pasar Seni,KJ27: Cgc Glenmarie,2997
KG16: Pasar Seni,KJ28: Subang Jaya,3326
KG16: Pasar Seni,KJ29: SS 15,3160
KG16: Pasar Seni,KJ30: SS 18,879
KG16: Pasar Seni,KJ31: USJ 7,1685
KG16: Pasar Seni,KJ32: Taipan,1612
KG16: Pasar Seni,KJ33: Wawasan,1069
KG16: Pasar Seni,KJ34: USJ 21,639
KG16: Pasar Seni,KJ35: Alam Megah,1468
KG16: Pasar Seni,KJ36: Subang Alam,325
KG16: Pasar Seni,MR01: KL Sentral,26
KG16: Pasar Seni,MR02: Tun Sambanthan,24
KG16: Pasar Seni,MR03: Maharajalela,41
KG16: Pasar Seni,MR04: Hang Tuah,3037
KG16: Pasar Seni,MR05: Imbi,253
KG16: Pasar Seni,MR06: Bukit Bintang,69
KG16: Pasar Seni,MR07: Raja Chulan,17
KG16: Pasar Seni,MR08: Bukit Nanas,32
KG16: Pasar Seni,MR09: Medan Tuanku,158
KG16: Pasar Seni,MR10: Chow Kit,208
KG16: Pasar Seni,MR11: Titiwangsa,372
KG16: Pasar Seni,PYL03: Kampung Selamat,2657
KG16: Pasar Seni,PYL04: Sungai Buloh,7685
KG16: Pasar Seni,SP12: Cheras,1205
KG16: Pasar Seni,SP13: Salak Selatan,2435
KG16: Pasar Seni,SP14: Bandar Tun Razak,878
KG16: Pasar Seni,SP15: Bandar Tasik Selatan,2152
KG16: Pasar Seni,SP16: Sungai Besi,46
KG16: Pasar Seni,SP17: Bukit Jalil,1416
KG16: Pasar Seni,SP18: Sri Petaling,683
KG16: Pasar Seni,SP19: Awan Besar,1280
KG16: Pasar Seni,SP20: Muhibbah,851
KG16: Pasar Seni,SP21: Alam Sutera,616
KG16: Pasar Seni,SP22: Kinrara,1098
KG16: Pasar Seni,SP24: IOI Puchong Jaya,643
KG16: Pasar Seni,SP25: Pusat Bandar Puchong,732
KG16: Pasar Seni,SP26: Taman Perindustrian Puchong,221
KG16: Pasar Seni,SP27: Bandar Puteri,490
KG16: Pasar Seni,SP28: Puchong Perdana,440
KG16: Pasar Seni,SP29: Puchong Prima,864
KG16: Pasar Seni,SP31: Putra Heights,1462
KG17: Merdeka,A0: All Stations,307526
KG17: Merdeka,AG01: Sentul Timur,2387
KG17: Merdeka,AG02: Sentul,2151
KG17: Merdeka,AG03: Titiwangsa,3770
KG17: Merdeka,AG04: PWTC,2585
KG17: Merdeka,AG05: Sultan Ismail,1188
KG17: Merdeka,AG06: Bandaraya,1693
KG17: Merdeka,AG07: Masjid Jamek,4782
KG17: Merdeka,AG08: Plaza Rakyat,4854
KG17: Merdeka,AG09: Hang Tuah,1192
KG17: Merdeka,AG10: Pudu,1897
KG17: Merdeka,AG11: Chan Sow Lin,416
KG17: Merdeka,AG12: Miharja,984
KG17: Merdeka,AG13: Maluri,1699
KG17: Merdeka,AG14: Pandan Jaya,2145
KG17: Merdeka,AG15: Pandan Indah,1977
KG17: Merdeka,AG16: Cempaka,4136
KG17: Merdeka,AG17: Cahaya,3123
KG17: Merdeka,AG18: Ampang,3796
KG17: Merdeka,KG04: Kwasa Damansara,1562
KG17: Merdeka,KG05: Kwasa Sentral,2906
KG17: Merdeka,KG06: Kota Damansara,2493
KG17: Merdeka,KG07: Surian,3611
KG17: Merdeka,KG08: Mutiara Damansara,3432
KG17: Merdeka,KG09: Bandar Utama,4522
KG17: Merdeka,KG10: TTDI,3603
KG17: Merdeka,KG12: Phileo Damansara,1947
KG17: Merdeka,KG13: Pusat Bandar Damansara,2967
KG17: Merdeka,KG14: Semantan,4872
KG17: Merdeka,KG15: Muzium Negara,8269
KG17: Merdeka,KG16: Pasar Seni,4422
KG17: Merdeka,KG17: Merdeka,10853
KG17: Merdeka,KG18: Bukit Bintang,31855
KG17: Merdeka,KG20: Tun Razak Exchange,16501
KG17: Merdeka,KG21: Cochrane,13610
KG17: Merdeka,KG22: Maluri,18297
KG17: Merdeka,KG23: Taman Pertama,5469
KG17: Merdeka,KG24: Taman Midah,7391
KG17: Merdeka,KG25: Taman Mutiara,13727
KG17: Merdeka,KG26: Taman Connaught,7502
KG17: Merdeka,KG27: Taman Suntex,5741
KG17: Merdeka,KG28: Sri Raya,2746
KG17: Merdeka,KG29: Bandar Tun Hussien Onn,6116
